Материал название,Материал номер,Иерархия 0 уровень,Иерархия 0 номер,Иерархия 1 уровень,Иерархия 2 уровень,Иерархия 3 уровень,Материал. Признак 1,Материал. Признак 10,Материал. Признак 2,Материал. Признак 3,Материал. Признак 4,Материал. Признак 5,Материал. Признак 6,Материал. Признак 7,Материал. Признак 8,Материал. Признак 9,Материал. Размер 1,Материал. Размер 10,Материал. Размер 11,Материал. Размер 12,Материал. Размер 2,Материал. Размер 3,Материал. Размер 4,Материал. Размер 5,Материал. Размер 6,Материал. Размер 7,Материал. Размер 8,Материал. Размер 9
ТР ХД 20 1 СТ20 8734,000000000000007381,Труба,915,10270,1027003800,102700380001100,##,##,##,##,##,##,##,##,СТ20,8734,20,##,##,##,##,##,##,##,##,1,##,##
ТР ХД 20 1.5 СТ20 8734,000000000000007382,Труба,915,10270,1027003800,102700380001100,##,##,##,##,##,##,##,##,СТ20,8734,20,##,##,##,##,##,##,##,##,1.5,##,##
ТР ХД 20 2 СТ20 8734,000000000000007383,Труба,915,10270,1027003800,102700380001100,##,##,##,##,##,##,##,##,СТ20,8734,20,##,##,##,##,##,##,##,##,2,##,##
ТР ХД 20 2.5 СТ20 8734,000000000000007384,Труба,915,10270,1027003800,102700380001100,##,##,##,##,##,##,##,##,СТ20,8734,20,##,##,##,##,##,##,##,##,2.5,##,##
ТР ХД 20 3 СТ20 8734,000000000000007385,Труба,915,10270,1027003800,102700380001100,##,##,##,##,##,##,##,##,СТ20,8734,20,##,##,##,##,##,##,##,##,3,##,##
ТР ХД 20 3.5 СТ20 8734,000000000000007386,Труба,915,10270,1027003800,102700380001100,##,##,##,##,##,##,##,##,СТ20,8734,20,##,##,##,##,##,##,##,##,3.5,##,##
ТР ХД 20 4 СТ20 8734,000000000000007387,Труба,915,10270,1027003800,102700380001100,##,##,##,##,##,##,##,##,СТ20,8734,20,##,##,##,##,##,##,##,##,4,##,##
ТР ХД 21 НЕКОНД,000000000000007388,Прочие ТМП,925,10330,1033003600,103300360001100,##,НЕКОНД,##,##,##,##,##,##,##,##,21,##,##,##,##,##,##,##,##,##,##,##
ТР ХД 21 2.5 СТ20 8734,000000000000007389,Труба,915,10270,1027003900,102700390001100,##,##,##,##,##,##,##,##,СТ20,8734,21,##,##,##,##,##,##,##,##,2.5,##,##
ТР ХД 21 3 СТ20 8734,000000000000007390,Труба,915,10270,1027003900,102700390001100,##,##,##,##,##,##,##,##,СТ20,8734,21,##,##,##,##,##,##,##,##,3,##,##
ТР ХД 22 НЕКОНД,000000000000007391,Прочие ТМП,925,10330,1033003600,103300360001100,##,НЕКОНД,##,##,##,##,##,##,##,##,22,##,##,##,##,##,##,##,##,##,##,##
ТР ХД 22 2 СТ20 8734,000000000000007392,Труба,915,10270,1027004000,102700400001100,##,##,##,##,##,##,##,##,СТ20,8734,22,##,##,##,##,##,##,##,##,2,##,##
ТР ХД 22 2.5 СТ20 8734,000000000000007393,Труба,915,10270,1027004000,102700400001100,##,##,##,##,##,##,##,##,СТ20,8734,22,##,##,##,##,##,##,##,##,2.5,##,##
ТР ХД 22 3 СТ20 8734,000000000000007394,Труба,915,10270,1027004000,102700400001100,##,##,##,##,##,##,##,##,СТ20,8734,22,##,##,##,##,##,##,##,##,3,##,##
ТР ХД 22 3.5 СТ20 8734,000000000000007395,Труба,915,10270,1027004000,102700400001100,##,##,##,##,##,##,##,##,СТ20,8734,22,##,##,##,##,##,##,##,##,3.5,##,##
ТР ХД 22 4 СТ20 8734,000000000000007396,Труба,915,10270,1027004000,102700400001100,##,##,##,##,##,##,##,##,СТ20,8734,22,##,##,##,##,##,##,##,##,4,##,##
ТР ХД 23 НЕКОНД,000000000000007397,Прочие ТМП,925,10330,1033003600,103300360001100,##,НЕКОНД,##,##,##,##,##,##,##,##,23,##,##,##,##,##,##,##,##,##,##,##
ТР ХД 23 3 СТ20 8734,000000000000007398,Труба,915,10270,1027004100,102700410001100,##,##,##,##,##,##,##,##,СТ20,8734,23,##,##,##,##,##,##,##,##,3,##,##
ТР ХД 25 НЕКОНД,000000000000007399,Прочие ТМП,925,10330,1033003600,103300360001100,##,НЕКОНД,##,##,##,##,##,##,##,##,25,##,##,##,##,##,##,##,##,##,##,##
ТР ХД 25 1.5 СТ20 8734,000000000000007400,Труба,915,10270,1027004200,102700420001100,##,##,##,##,##,##,##,##,СТ20,8734,25,##,##,##,##,##,##,##,##,1.5,##,##
ТР ХД 25 2 СТ20 8734,000000000000007401,Труба,915,10270,1027004200,102700420001100,##,##,##,##,##,##,##,##,СТ20,8734,25,##,##,##,##,##,##,##,##,2,##,##
ТР ХД 25 2.5 СТ20 8734,000000000000007402,Труба,915,10270,1027004200,102700420001100,##,##,##,##,##,##,##,##,СТ20,8734,25,##,##,##,##,##,##,##,##,2.5,##,##
ТР ХД 25 3 СТ20 8734,000000000000007403,Труба,915,10270,1027004200,102700420001100,##,##,##,##,##,##,##,##,СТ20,8734,25,##,##,##,##,##,##,##,##,3,##,##
ТР ХД 25 3.5 СТ20 8734,000000000000007404,Труба,915,10270,1027004200,102700420001100,##,##,##,##,##,##,##,##,СТ20,8734,25,##,##,##,##,##,##,##,##,3.5,##,##
